data has 1335285 characters, 97 unique.
Epoch 0281 | avg_token_loss: 3.2914 | ppl: 26.88
Epoch 0282 | avg_token_loss: 3.2926 | ppl: 26.91
Epoch 0283 | avg_token_loss: 3.2833 | ppl: 26.66
Epoch 0284 | avg_token_loss: 3.2858 | ppl: 26.73
Epoch 0285 | avg_token_loss: 3.2850 | ppl: 26.71
Epoch 0286 | avg_token_loss: 3.2865 | ppl: 26.75
Epoch 0287 | avg_token_loss: 3.2847 | ppl: 26.70
Epoch 0288 | avg_token_loss: 3.2882 | ppl: 26.79
Epoch 0289 | avg_token_loss: 3.2864 | ppl: 26.75
Epoch 0290 | avg_token_loss: 3.2889 | ppl: 26.81
Epoch 0291 | avg_token_loss: 3.2878 | ppl: 26.78
Epoch 0292 | avg_token_loss: 3.2884 | ppl: 26.80
Epoch 0293 | avg_token_loss: 3.2906 | ppl: 26.86
Epoch 0294 | avg_token_loss: 3.2841 | ppl: 26.69
Epoch 0295 | avg_token_loss: 3.2859 | ppl: 26.73
Epoch 0296 | avg_token_loss: 3.2863 | ppl: 26.74
Epoch 0297 | avg_token_loss: 3.2891 | ppl: 26.82
Epoch 0298 | avg_token_loss: 3.2917 | ppl: 26.89
Epoch 0299 | avg_token_loss: 3.2835 | ppl: 26.67
Epoch 0300 | avg_token_loss: 3.2894 | ppl: 26.83
[sample@epoch 300] UMQdgup  8a m neu di8Ks7 ,prlt(	ri a rgtloylfioi ss--rlgeofSe ha9tRZsho   to/Jut-o nngc   eejV  rrmFera.cn mobtr) tetdiwr ixtyss .cet a  vttr G'Piono  ...
Epoch 0301 | avg_token_loss: 3.2880 | ppl: 26.79
Epoch 0302 | avg_token_loss: 3.2804 | ppl: 26.59
Epoch 0303 | avg_token_loss: 3.2969 | ppl: 27.03
Epoch 0304 | avg_token_loss: 3.2978 | ppl: 27.05
Epoch 0305 | avg_token_loss: 3.2846 | ppl: 26.70
Epoch 0306 | avg_token_loss: 3.2833 | ppl: 26.66
Epoch 0307 | avg_token_loss: 3.2845 | ppl: 26.70
Epoch 0308 | avg_token_loss: 3.2865 | ppl: 26.75
Epoch 0309 | avg_token_loss: 3.2811 | ppl: 26.61
Epoch 0310 | avg_token_loss: 3.2870 | ppl: 26.76
Epoch 0311 | avg_token_loss: 3.2938 | ppl: 26.95
Epoch 0312 | avg_token_loss: 3.2838 | ppl: 26.68
